,f1_weighted,f1_weighted_std,recall_weighted,roc_auc_ovr_weighted
random_over,0.8593425498689259,0.00806501847209043,0.8610646209278399,0.9624214475095967
none,0.8587545435711158,0.00824173550924545,0.861587325981993,0.9625714309327629
smote,0.8582221705102324,0.005108629103066702,0.8588423133241975,0.9613665558295285
class_weight,0.8570938553476688,0.00924422747797199,0.8587119358956297,0.9620173155321872
adasyn,0.856512360364879,0.008311034271155395,0.8570136140674428,0.9609804994215839
random_under,0.841430702061227,0.006774562382826997,0.8358386803447703,0.9575137468148668
